Number,"0-10
 %3
 HW1
 ","0-10
 %3
 Q1
 ","0-10
 %3
 Q2
 ","0-10
 %3
 Q3
 ","0-10
 %3
 Q4
 ","0-10
 %3
 Q5
 ","0-100
 %15
 Midterm
 ","0-100
 %40
 Proj
 ","0-100
 %25
 Final Exam
 ",Total Grade,Dataset,Manual Category ,KNN results,Match result successful,Match result failing,Distance to student 3,Distance to student 4,Distance to student 5,Distance to student 13,Distance to student 14,Distance to student 15,Distance to student 16,Distance to student 21,Distance to student 22,Distance to student 23,Distance to student 30,Distance to student 31,Distance to student 32,Distance to student 36,Distance to student 37,Distance to student 38,Distance to student 39,Distance to student 40,Distance to student 41,Distance to student 42
27,10,6,9,8,10,9,55,87,66,75.15,Train,Successful,,,,109.2016483,28.63564213,30.46309242,53.36665626,54.4885309,29.15475947,48.08326112,53.75872022,35.60898763,109.2016483,47.70744177,53.75872022,101.414989,48.50773134,20.80865205,65.76473219,27.16615541,37.65634077,32.44996148,51.89412298
28,10,4,7,2,,8,22,15,,18.6,Train,Failing,,,,15,72.11102551,89.55445271,57.5847202,43.18564576,71.06335202,61.3514466,44.20407221,62.80127387,15,51.2249939,53.31041174,5,67.44627492,77.07788269,32.01562119,82.37718131,71.1758386,65.7951366,50.60632372
29,10,4,,,7,9,40,47,40,43.8,Test,Failing,Failing,TN,TP,,,,,,,,,,,,,,,,,,,,
30,10,9,,,,,39,36,49,38.2,Test,Failing,Failing,TN,TP,,,,,,,,,,,,,,,,,,,,
31,10,,5,4,10,8,42,10,,21.4,Test,Failing,Failing,TN,TP,,,,,,,,,,,,,,,,,,,,
32,10,5,10,6,10,9,40,73,34,58.7,Train,Successful,,,,80.5294977,6.32455532,46.17358552,42.94182111,26.47640459,24.69817807,14,24.04163056,8.94427191,80.5294977,26.68332813,39.92492956,71.58910532,17.4642492,20.22374842,35.84689666,37.33630941,8.602325267,19.10497317,34.4818793
33,10,4,6,10,9,9,55,74,43,63,Train,Successful,,,,85.58621384,3.16227766,38.07886553,40.52159918,30.41381265,18.43908891,23.02172887,28.8444102,10.29563014,85.58621384,27.16615541,38.47076812,77.1038261,25.70992026,11.70469991,41.0487515,29.52964612,15.23154621,14.86606875,34.0147027
34,10,10,10,6,10,8,69,75,72,74.55,Train,Successful,,,,103.9663407,32,17.08800749,43.8634244,51.31276644,22.6715681,52.03844733,51.4781507,35.44009029,103.9663407,42.52058325,45.27692569,97,54.23098745,18.68154169,62.68173578,15.29705854,43.28972164,28.3019434,44.82186966
35,10,20,70,30,10,8.6,38,80,18,50.8,Test,Failing,Successful ,FP,,,,,,,,,,,,,,,,,,,,,
36,10,20,80,100,65,14.33,50,70,54,63.33,Test,Successful,Successful,TP,,,,,,,,,,,,,,,,,,,,,
37,10,35,80,90,25,12.73,40,40,20,39.73,Test,Failing,Failing,,TP,,,,,,,,,,,,,,,,,,,,
38,10,40,70,80,55,13.43,72,60,69,65.48,Test,Successful,Successful,TP,TN,,,,,,,,,,,,,,,,,,,,
39,10,45,75,100,50,14.43,37,80,29,59.23,Test,Successful,Successful,TP,TN,,,,,,,,,,,,,,,,,,,,
40,10,20,70,100,75,14.33,47,60,48,57.38,Test,Successful,Failing,FN,,,,,,,,,,,,,,,,,,,,,
41,10,45,70,90,50,13.8,43,40,44,47.25,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
42,10,55,70,80,75,14.93,31,40,33,43.83,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
43,10,20,70,50,60,11.65,39,60,27,48.25,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
44,10,30,75,35,0,8.98,31,40,13,32.88,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
45,10,50,70,1,70,11.34,28,60,33,47.79,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
46,10,45,70,60,75,13.73,41,60,35,52.63,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
47,10,40,60,10,55,10.18,56,80,34,59.08,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
48,10,45,70,100,75,15.33,63,80,44,67.78,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
49,10,30,80,100,75,15.18,51,60,49,59.08,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
50,10,35,70,80,40,12.55,43,70,42,57.5,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
51,10,35,80,100,55,14.48,40,60,57,58.73,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
52,10,20,40,80,20,9.7,44,40,25,38.55,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
53,10,45,50,80,60,12.95,48,50,38,49.65,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
54,10,35,50,40,55,10.73,43,40,33,41.43,Test,Failing,,,,,,,,,,,,,,,,,,,,,,,
55,10,40,70,80,70,14.1,62,80,68,72.4,Test,Successful,,,,,,,,,,,,,,,,,,,,,,,
